,,,,,,,,,,,,,,,,,,,
,,,,,,,AIV,Apartment Investment & Mgmt (AIV),US Stock,,,,,,,,Apartment Investment & Mgmt (AIV),AIV,US Stock
,,,,,,,AAPL,Apple Inc. (AAPL),US Stock,,,,,,,,Apple Inc. (AAPL),AAPL,US Stock
,,,,,,,AMAT,Applied Materials Inc (AMAT),US Stock,,,,,,,,Applied Materials Inc (AMAT),AMAT,US Stock
,,,,,,,ADM,Archer-Daniels-Midland Co (ADM),US Stock,,,,,,,,Archer-Daniels-Midland Co (ADM),ADM,US Stock
,,,,,,,AJG,Arthur J. Gallagher & Co. (AJG),US Stock,,,,,,,,Arthur J. Gallagher & Co. (AJG),AJG,US Stock
,,,,,,,AIZ,Assurant Inc (AIZ),US Stock,,,,,,,,Assurant Inc (AIZ),AIZ,US Stock
,,,,,,,T,AT&T Inc (T),US Stock,,,,,,,,AT&T Inc (T),T,US Stock
,,,,,,,ADSK,Autodesk Inc (ADSK),US Stock,,,,,,,,Autodesk Inc (ADSK),ADSK,US Stock
,,,,,,,ADP,Automatic Data Processing (ADP),US Stock,,,,,,,,Automatic Data Processing (ADP),ADP,US Stock
,,,,,,,AN,AutoNation Inc (AN),US Stock,,,,,,,,AutoNation Inc (AN),AN,US Stock
,,,,,,,AZO,AutoZone Inc (AZO),US Stock,,,,,,,,AutoZone Inc (AZO),AZO,US Stock
,,,,,,,AVGO,Avago Technologies (AVGO),US Stock,,,,,,,,Avago Technologies (AVGO),AVGO,US Stock
,,,,,,,AVB,"AvalonBay Communities, Inc. (AVB)",US Stock,,,,,,,,"AvalonBay Communities, Inc. (AVB)",AVB,US Stock
,,,,,,,AVY,Avery Dennison Corp (AVY),US Stock,,,,,,,,Avery Dennison Corp (AVY),AVY,US Stock
,,,,,,,BHI,Baker Hughes Inc (BHI),US Stock,,,,,,,,Baker Hughes Inc (BHI),BHI,US Stock
,,,,,,,BLL,Ball Corp (BLL),US Stock,,,,,,,,Ball Corp (BLL),BLL,US Stock
,,,,,,,BAC,Bank of America Corp (BAC),US Stock,,,,,,,,Bank of America Corp (BAC),BAC,US Stock
,,,,,,,BK,The Bank of New York Mellon Corp. (BK),US Stock,,,,,,,,The Bank of New York Mellon Corp. (BK),BK,US Stock
,,,,,,,BCR,Bard (C.R.) Inc. (BCR),US Stock,,,,,,,,Bard (C.R.) Inc. (BCR),BCR,US Stock
,,,,,,,BAX,Baxter International Inc. (BAX),US Stock,,,,,,,,Baxter International Inc. (BAX),BAX,US Stock
,,,,,,,BBT,BB&T Corporation (BBT),US Stock,,,,,,,,BB&T Corporation (BBT),BBT,US Stock
,,,,,,,BDX,Becton Dickinson (BDX),US Stock,,,,,,,,Becton Dickinson (BDX),BDX,US Stock
,,,,,,,BBBY,Bed Bath & Beyond (BBBY),US Stock,,,,,,,,Bed Bath & Beyond (BBBY),BBBY,US Stock
,,,,,,,BRK-B,Berkshire Hathaway (BRK-B),US Stock,,,,,,,,Berkshire Hathaway (BRK-B),BRK-B,US Stock
,,,,,,,BBY,Best Buy Co. Inc. (BBY),US Stock,,,,,,,,Best Buy Co. Inc. (BBY),BBY,US Stock
,,,,,,,BIIB,BIOGEN IDEC Inc. (BIIB),US Stock,,,,,,,,BIOGEN IDEC Inc. (BIIB),BIIB,US Stock
,,,,,,,BLK,BlackRock (BLK),US Stock,,,,,,,,BlackRock (BLK),BLK,US Stock
,,,,,,,HRB,Block H&R (HRB),US Stock,,,,,,,,Block H&R (HRB),HRB,US Stock
,,,,,,,BA,Boeing Company (BA),US Stock,,,,,,,,Boeing Company (BA),BA,US Stock
,,,,,,,BWA,BorgWarner (BWA),US Stock,,,,,,,,BorgWarner (BWA),BWA,US Stock
,,,,,,,BXP,Boston Properties (BXP),US Stock,,,,,,,,Boston Properties (BXP),BXP,US Stock
,,,,,,,BSX,Boston Scientific (BSX),US Stock,,,,,,,,Boston Scientific (BSX),BSX,US Stock
,,,,,,,BMY,Bristol-Myers Squibb (BMY),US Stock,,,,,,,,Bristol-Myers Squibb (BMY),BMY,US Stock
,,,,,,,BF-B,Brown-Forman Corporation (BF-B),US Stock,,,,,,,,Brown-Forman Corporation (BF-B),BF-B,US Stock
,,,,,,,CHRW,C. H. Robinson Worldwide (CHRW),US Stock,,,,,,,,C. H. Robinson Worldwide (CHRW),CHRW,US Stock
,,,,,,,CA,"CA, Inc. (CA)",US Stock,,,,,,,,"CA, Inc. (CA)",CA,US Stock
,,,,,,,COG,Cabot Oil & Gas (COG),US Stock,,,,,,,,Cabot Oil & Gas (COG),COG,US Stock
,,,,,,,CPB,Campbell Soup (CPB),US Stock,,,,,,,,Campbell Soup (CPB),CPB,US Stock
,,,,,,,COF,Capital One Financial (COF),US Stock,,,,,,,,Capital One Financial (COF),COF,US Stock
,,,,,,,CAH,Cardinal Health Inc. (CAH),US Stock,,,,,,,,Cardinal Health Inc. (CAH),CAH,US Stock
,,,,,,,HSIC,Henry Schein (HSIC),US Stock,,,,,,,,Henry Schein (HSIC),HSIC,US Stock
,,,,,,,KMX,Carmax Inc (KMX),US Stock,,,,,,,,Carmax Inc (KMX),KMX,US Stock
,,,,,,,CCL,Carnival Corp. (CCL),US Stock,,,,,,,,Carnival Corp. (CCL),CCL,US Stock
,,,,,,,CAT,Caterpillar Inc. (CAT),US Stock,,,,,,,,Caterpillar Inc. (CAT),CAT,US Stock
,,,,,,,CBG,CBRE Group (CBG),US Stock,,,,,,,,CBRE Group (CBG),CBG,US Stock
,,,,,,,CBS,CBS Corp. (CBS),US Stock,,,,,,,,CBS Corp. (CBS),CBS,US Stock
,,,,,,,CELG,Celgene Corp. (CELG),US Stock,,,,,,,,Celgene Corp. (CELG),CELG,US Stock
,,,,,,,CNC,Centene Corporation (CNC),US Stock,,,,,,,,Centene Corporation (CNC),CNC,US Stock
,,,,,,,CNP,CenterPoint Energy (CNP),US Stock,,,,,,,,CenterPoint Energy (CNP),CNP,US Stock
,,,,,,,CTL,CenturyLink Inc (CTL),US Stock,,,,,,,,CenturyLink Inc (CTL),CTL,US Stock
,,,,,,,CERN,Cerner (CERN),US Stock,,,,,,,,Cerner (CERN),CERN,US Stock
,,,,,,,CF,CF Industries Holdings Inc (CF),US Stock,,,,,,,,CF Industries Holdings Inc (CF),CF,US Stock
